;Unnamed: 0;channel_id;video_id;title;duration;view_count;datapoint_0;datapoint_1;datapoint_2;datapoint_3;datapoint_4;datapoint_5;datapoint_6;datapoint_7;datapoint_8;datapoint_9;datapoint_10;datapoint_11;datapoint_12;datapoint_13;datapoint_14;datapoint_15;datapoint_16;datapoint_17;datapoint_18;datapoint_19;datapoint_20;datapoint_21;datapoint_22;datapoint_23;datapoint_24;datapoint_25;datapoint_26;datapoint_27;datapoint_28;datapoint_29;datapoint_30;datapoint_31;datapoint_32;datapoint_33;datapoint_34;datapoint_35;datapoint_36;datapoint_37;datapoint_38;datapoint_39;datapoint_40;datapoint_41;datapoint_42;datapoint_43;datapoint_44;datapoint_45;datapoint_46;datapoint_47;datapoint_48;datapoint_49;datapoint_50;datapoint_51;datapoint_52;datapoint_53;datapoint_54;datapoint_55;datapoint_56;datapoint_57;datapoint_58;datapoint_59;datapoint_60;datapoint_61;datapoint_62;datapoint_63;datapoint_64;datapoint_65;datapoint_66;datapoint_67;datapoint_68;datapoint_69;datapoint_70;datapoint_71;datapoint_72;datapoint_73;datapoint_74;datapoint_75;datapoint_76;datapoint_77;datapoint_78;datapoint_79;datapoint_80;datapoint_81;datapoint_82;datapoint_83;datapoint_84;datapoint_85;datapoint_86;datapoint_87;datapoint_88;datapoint_89;datapoint_90;datapoint_91;datapoint_92;datapoint_93;datapoint_94;datapoint_95;datapoint_96;datapoint_97;datapoint_98;datapoint_99
1207;1207;UCQsBfyc5eOobgCzeY8bBzFg;Bp0RMHEdQqg;Upstairs With Cat - Diamond Ortiz | Royalty Free Music - No Copyright Music;214.0;84166;0.0;0.02672089038372583;0.1415905831441627;0.20224353095273462;0.2572785185615007;0.2741343751268112;0.25830496055152774;0.24845028850547868;0.2285042140605299;0.22601218370930823;0.2288869249180191;0.22796255843437185;0.25452937167272643;0.259605531663504;0.2969580824378754;0.2982647742246912;0.2953543692413245;0.29452865646946175;0.2917212426839863;0.30122173489227083;0.30014189362884014;0.29592238714415386;0.30521993319693064;0.30113739488463875;0.30436019525627456;0.30329442672554596;0.2979935849544366;0.2951366756330537;0.2900335268398339;0.289357216367205;0.2880074870793518;0.2870771445037352;0.2935393722770829;0.29686979049845713;0.2973899032769515;0.30130785808863564;0.30270963720977034;0.30517438959280935;0.3074072792462953;0.3222161315349409;0.32655983470515165;0.3368141819987965;0.3489108042248657;0.3527193579980786;0.36476556899672885;0.3605526169354928;0.3606476078812315;0.36625882088042677;0.36325087065394734;0.37425275958095255;0.3814699991026223;0.4022557626635558;0.40819281725795115;0.40896122701891424;0.40696174231226373;0.4026162559533202;0.4116672400180709;0.4120434446463999;0.405142889804816;0.3699701667705575;0.35479711023181165;0.35112933197990914;0.3434050403323555;0.340464080169081;1.0;0.3370810337829443;0.3372159296008655;0.34093879392632426;0.3429848343171876;0.34863089178810747;0.35132056692292857;0.3514121360740719;0.35352569666533107;0.35449300426143554;0.3572559829114614;0.3583384748608462;0.354971043424694;0.35211504979482244;0.3541080282723128;0.35819095213892527;0.3651211464689056;0.37016622114258446;0.3752997323385518;0.3801053295848457;0.3838591346445329;0.3850677028567551;0.3859888885172574;0.3684297326768757;0.3480849468701327;0.3381697909900389;0.3373800793528625;0.3315085689929697;0.312036437196623;0.29190770639228825;0.278736110526086;0.26518806906010434;0.24854248418239303;0.22532927061893904;0.21238124806439682;0.20440547861122949
1231;1231;UCQsBfyc5eOobgCzeY8bBzFg;ZsPi2W6YzQQ;Happy Birthday - Kiai | Royalty Free Music - No Copyright Music;113.0;60871;0.05364202562278846;0.0;0.029867669996329574;0.062189621326059465;0.08767585651065397;0.09762403068446579;0.10483652426362546;0.12309370448774974;0.14402070437069034;0.13485795791197758;0.12922064639383735;0.12792813754647822;0.1336869312433463;0.1543558235609566;0.16036753286616937;0.17223033732577198;0.17989453116267867;0.196181267563417;0.1958380695919338;0.2045767100828045;0.22437441124770177;0.2362118808801617;0.2517596287366166;0.2568109702205212;0.28087641195390406;0.2973352521139798;0.3178188204114097;0.32903354364765264;0.3427319452700431;0.3503788806573402;0.3711228159828627;0.38750714194545993;0.40197467430685574;0.4219596705126408;0.4363674953687023;0.45740030541206234;0.4805168208589756;0.5047701825910317;0.5382070586097429;0.5763789032519678;0.5926257865754742;0.5883963607265952;0.6193390782978361;0.6255522163046198;0.604519117819205;0.5978241854336281;0.625235122339092;0.6579974285390818;0.6555400945272687;0.6659478530416575;0.6626013483223849;0.6654945182789336;0.6674610200609046;0.6748016780597272;0.6819273505804055;0.6912066276292395;0.7258063097180214;0.7415780328299939;0.7321612650683932;0.7257115084293585;0.7422003946368045;0.7330629349315587;0.7534895359231745;0.7812828508458923;0.7934578938297677;0.7930011939097383;0.7862107872040374;0.7888337831026317;0.8100311974119055;0.8142014926395597;0.8323425749366449;0.8656755156682926;0.8644492523461756;0.8833110551907432;0.9005299882387752;0.9033000895852948;0.9125940771789214;0.9377323791349671;0.9362794003578123;0.924571825797344;0.9194041940916972;0.9172655885503888;0.9411389759489803;0.9486620254737601;0.9515774054685249;0.9568936809797223;0.9705633345439887;0.9690783386987561;0.9720656369125066;0.9699591445866277;0.9867437800475497;0.9945748856868082;0.9923302296167014;0.9985690389663583;1.0;0.990004809771263;0.9921624524881852;0.9917185401659167;0.9845395058651086;0.7414597715875442
1243;1243;UCQsBfyc5eOobgCzeY8bBzFg;xXjW-PG01Fk;Groovy Hip Hop - Bensound | Royalty Free Music - No Copyright Music | Bensound Music;241.0;61333;0.5649906468494155;0.06401438373918071;0.3317858047556746;0.5134165756375417;0.6206639392052572;0.6965223461949023;0.6963032874996169;0.728622540992546;0.7235998476090152;0.7505369748194907;0.7747644383031288;0.822935940519877;0.8780684777213827;0.9164623613135653;0.91649621705572;0.9511089628995931;0.9801642819779194;0.9675012976919349;0.9947055239590932;0.9431612939744942;0.9223958143062055;0.9591361192193161;0.8899575973556658;0.8859491042479857;0.9031798035644343;0.9886015879012157;1.0;0.9962905882508799;0.9596986865711667;0.91746772965668;0.9602795868743027;0.9021338886210315;0.8731705019334572;0.8330222753387146;0.8270282031713865;0.8408594112874509;0.8799839365877935;0.8959016219041567;0.9305969329373951;0.9305868966501951;0.9387104013270381;0.8774687091983108;0.8966305239892021;0.9013133217795595;0.916731869079176;0.8769403990401027;0.8967659469578207;0.8226853009742023;0.791153829117892;0.7953255791640255;0.7763826892512569;0.7771810424437262;0.780876938659417;0.7422610523943705;0.718232039762967;0.742556654506701;0.7014680947098998;0.7435147853913945;0.751412005246168;0.7843742502057104;0.79323977104954;0.8011161154269376;0.7765241339921956;0.7503272833255921;0.7225980923292925;0.6904673872185607;0.7035892305553292;0.7163686357728336;0.7516020256171547;0.7678339136314593;0.7810328356539237;0.7482856348747866;0.7613623818277364;0.7903795630147026;0.7824333660783931;0.7522634838522161;0.7428301767871918;0.7563125235601842;0.7436879447998851;0.7337326169832982;0.7240755676222952;0.721722258999639;0.706367007217964;0.7043982891208119;0.6834074613505925;0.6751565627348909;0.6492804718071994;0.6267346886067934;0.5694343133700875;0.47998924912915136;0.397119090450098;0.25829783498550696;0.18281873274344052;0.16652508810856534;0.1124242812312196;0.0700973774111009;0.004429147358522808;0.01168297429519504;0.0;0.01951984260960596
1253;1253;UCQsBfyc5eOobgCzeY8bBzFg;FkIUkTsdCYg;Sci Fi - Bensound | Royalty Free Music - No Copyright Music | Bensound Music;285.0;82961;0.0;0.039536811688978414;0.28183542955308943;0.4334730493716917;0.5025905164814872;0.5470951692612344;0.4829791294566478;0.4675989955848721;0.4988952487791019;0.5568985975555596;0.6029169387650998;0.5877148858850645;0.6348778592225327;0.6900511664849482;0.7005000948124458;0.6918946183950433;0.7335416985485222;0.7278616641764515;0.7028184584084395;0.6814909073056638;0.648109259484087;0.6544167592683467;0.6420001405306456;0.6569554588859213;0.6677987965331883;0.6767119941163574;0.6894560239924931;0.7298989664811758;0.739252661859961;0.7318575960190011;0.7232372214364384;0.7440719133561049;0.7531022052900074;0.7503633823661571;0.7299599531221828;0.7241368615150641;0.7328569056937868;0.716083749817639;0.6966482656902183;0.7202975782161294;0.7312351837856386;0.7333470640399372;0.7316611319111859;0.716561013845405;0.7113395990137066;0.7453805995483417;0.8257390372047697;0.8653911572071377;0.9146593022683938;0.9169374146813228;0.9370161336238214;0.971891954150069;0.9772702788967012;0.9833513439952792;1.0;0.9764399893412776;0.9689612846783654;0.934905473102343;0.9349167991928157;0.9262701132308471;0.9298608324057919;0.8925532131312777;0.8884272054958373;0.8846190253838162;0.8678896927654205;0.8558493616027324;0.8619682384187349;0.838814398789119;0.8203408482379239;0.8028660846188773;0.7640743989973448;0.7438087995620463;0.7391326053009502;0.7197002576293525;0.7125700480579087;0.6799773059996436;0.6506978810235144;0.5912083749294896;0.5391589776669969;0.5102790151894635;0.49323603698874624;0.4797137304495887;0.46995072758587386;0.47255991033569794;0.45448582228309853;0.4510745780802599;0.4275029799597462;0.4272808143389351;0.42016863938847476;0.41010131318613513;0.4071561811681355;0.4065668759684624;0.38533960432825676;0.37040232059396455;0.3613404898542842;0.359478741951887;0.3608110386865708;0.3557075894433344;0.340289905225453;0.3344236002269923
1262;1262;UCQsBfyc5eOobgCzeY8bBzFg;qN7miZz-w6Y;Dance - Bensound | Royalty Free Music - No Copyright Music | Bensound Music;177.0;63943;0.018188359250888898;0.0;0.09975918511204422;0.28056099194091916;0.3204862251273917;0.3256429834856432;0.515451694736989;0.5231553498224896;0.49988011704797924;0.7268290673985875;0.6902112248754934;0.7866346540747896;0.8022131128913255;0.75379625791092;0.9980394477708904;1.0;0.9189146557940367;0.8849172294133382;0.8597980096752533;0.7883368277259668;0.7382459444580997;0.5647275006887271;0.3699185379269964;0.3121389000603017;0.29184578239461195;0.2629281802621557;0.25646209337532255;0.24914145323023731;0.23542100232133284;0.2371272632587848;0.23065946902452036;0.22323871623460148;0.22850345138343064;0.22625208097519442;0.2220404946335548;0.22958508185004184;0.2273038069928579;0.22278523440929549;0.22366089669033418;0.2197706279614798;0.2078521787906809;0.20139248152226477;0.19854110783643886;0.19031471987906393;0.19050211419409624;0.18935480258918203;0.18114002976811985;0.1848109560898567;0.1827228960503117;0.17770466565409754;0.18783645334477186;0.1857507215062695;0.1838441318035483;0.19350471747209208;0.1918859968938435;0.18630524725682623;0.2020302792634467;0.20949226708072083;0.21621913835323056;0.2804429262791567;0.2840353404879555;0.2541735752260059;0.23040616075108075;0.20837315257732308;0.19703227834740306;0.20500807426588813;0.20527284246223765;0.19889292488288277;0.20629016284227095;0.20400120492164628;0.20045315587716003;0.19621784775378592;0.19103522049506064;0.17956492415607012;0.1706237267408027;0.1675785173837265;0.16426222781858518;0.16252839063322813;0.16105241464779407;0.1589735898057182;0.15883762286482783;0.15711785836132855;0.15617822228941813;0.15542854155368693;0.15688547802837227;0.15937021178778277;0.16527476245203082;0.16475585817742652;0.1667289568232659;0.17533541066640215;0.1771241933963656;0.17521421486768232;0.17204659387356402;0.17287745121898204;0.16948327039451405;0.15335897777798072;0.14715864210571505;0.14351619744339986;0.14042196651992575;0.13119662510185395
1266;1266;UCQsBfyc5eOobgCzeY8bBzFg;bWQ--5ET7Pc;House - Bensound | Royalty Free Music - No Copyright Music | Bensound Music;260.0;76246;1.0;0.0;0.2620623556679991;0.44976967390653455;0.5220962637176796;0.5218235722084759;0.5100932793566555;0.5077344585093189;0.38950877964498554;0.30349794836967414;0.40255993672928303;0.4444640558799126;0.38708913365986114;0.42389038524316147;0.4136767915635691;0.38653290584944505;0.4502122671572075;0.46798232330336764;0.5050812565687612;0.48598766428484647;0.44747010648799895;0.4103804463056273;0.4250957288651114;0.48933556159755415;0.4818694723977254;0.49521831116411613;0.4448931324332994;0.4273371430511366;0.4427062565491149;0.45988409274906206;0.4433005197170107;0.45081926116789606;0.46783725456388925;0.4800566632523908;0.5255386207404918;0.4880335578729182;0.5007884478132105;0.51337862265169;0.510208171283588;0.5248684440285353;0.5235200748887898;0.5156280525535477;0.4710477845111537;0.44932330855429337;0.5332597983088726;0.46888259821098655;0.5016957954112699;0.46904479857842063;0.5081850674758244;0.5478234109511338;0.5388792866201514;0.518257678859304;0.5409440407160643;0.5128269527973355;0.4615651926813057;0.46534499562357634;0.4650011056972722;0.44769627541119444;0.4279557677083273;0.45830641126814753;0.42187954076549455;0.42537046359599784;0.44786680583625843;0.42480260513907975;0.4317357278214966;0.42845588550791586;0.43215851753893636;0.4239215050810994;0.4258378898486617;0.4139620567446669;0.43577674879736755;0.4220541576339241;0.45874790432252976;0.4457165507714655;0.4145996990805974;0.4190341188158556;0.447657139857424;0.43517431274274065;0.4618281395947914;0.42177077850361044;0.4221921536829621;0.4084392285360741;0.4285428010148839;0.4224277528600781;0.4146014279604828;0.40283451428927086;0.3955215095447529;0.4070481089118886;0.45088370123635346;0.41990641730351;0.422478361889452;0.4326994997721808;0.3998127465913168;0.4111722732931594;0.36051294923175653;0.3549822624782299;0.34723609473695954;0.3491510649664338;0.34233849236330177;0.33523428915767556
1274;1274;UCQsBfyc5eOobgCzeY8bBzFg;2hdEkqF1ePA;Pop Dance - Bensound | Royalty Free Music - No Copyright Music | Bensound Music;162.0;96155;0.4870627996406357;0.11312699877012007;0.3745723724284769;0.5698943732455269;0.6679133711667415;0.6910906025895064;0.7172102690023336;0.7440861802736214;0.7655204002081799;0.8352284834508614;0.8678284806096968;0.8622847656318944;0.85743218548845;0.8726484519311526;0.8698514113916068;0.8727662956937844;0.9161868255193413;0.9340253578253209;0.9635010424061049;1.0;0.9998616008413291;0.9631368567506289;0.9069853262453449;0.8606640103211765;0.7393237855850496;0.7236927521458327;0.6689007835157347;0.6343961298171193;0.6224379474565334;0.599521801849426;0.6129044408695513;0.6099022768491139;0.5834518945617956;0.5884033773699511;0.5995059817278672;0.6184407300760097;0.6026111379682487;0.5879973275832752;0.5889438443799395;0.5793090674910062;0.5651794389216316;0.5738452064601197;0.5665915192955978;0.5673185991680553;0.5522259879612104;0.5236804619561591;0.5064137140436619;0.5109440802827045;0.47796569164495256;0.48216760202686965;0.45493783660806264;0.4587716870190199;0.475929738858222;0.5218428525982236;0.5231371968294324;0.5154594873591848;0.5362088144121092;0.533721611491392;0.49977948687704776;0.46355528282287795;0.4119159307978378;0.39140734940428096;0.3426422013688387;0.307965355870944;0.29894777896255303;0.2842523927126709;0.29690235562686207;0.28908000504521975;0.2892405738980478;0.28669321146745724;0.2782679743485877;0.2661401830657114;0.25555415410563365;0.24203300830696287;0.23261573118449447;0.21820478426304707;0.19931491340259175;0.19275860302515163;0.19900120146827946;0.20113121402536643;0.17916201569442156;0.18816732393711383;0.18773684443891517;0.18902247146028547;0.1955436977586224;0.19703681589812444;0.1984532010670726;0.19468779689632892;0.21543755442875157;0.24262341093874235;0.2630551517418707;0.2747828123311713;0.26464835636470396;0.2455673526070484;0.22832406582720294;0.20651844970557354;0.13070466050019136;0.09699790055148728;0.051711242101239306;0.0
1291;1291;UCQsBfyc5eOobgCzeY8bBzFg;5WcfbD9imnM;Moose - Bensound | Royalty Free Music - No Copyright Music | Bensound Music;161.0;94783;0.09551850194251703;0.0;0.16611926647933742;0.29375493956062254;0.36542546890947075;0.4143514285674372;0.4360463427748653;0.4633635605584526;0.49237106483049015;0.5046139328751348;0.5218602371518485;0.5448627356348258;0.5538178938908301;0.5734115854584335;0.5786250116078986;0.5893401588879593;0.6183060475111011;0.6331021753146705;0.6466609360594672;0.7058497853007499;0.7113534916301445;0.7261127094412305;0.7212651480778166;0.9484083595103853;0.9551223018483009;0.9636008653408038;0.9932435597026114;1.0;0.9531622489008432;0.8812487900397136;0.8336673981756612;0.7676149079018485;0.7381985262031169;0.732563943804757;0.7282945164471147;0.7250012922173663;0.7333386860175023;0.7429552095770696;0.7520778597909968;0.7550061750711529;0.759782269277806;0.7657874956445107;0.772948254763944;0.7790188456392498;0.7866209806249744;0.78876918630304;0.801893997295571;0.8076708522745195;0.8129583925124771;0.8340023820915069;0.8394369740923469;0.8462520880431256;0.847103370698451;0.8775519087208533;0.8846440681929022;0.8937349552260468;0.9125256706424316;0.8975931523287889;0.8870755690921605;0.884896556069771;0.8863714852514802;0.88032515791705;0.8705648912592653;0.8683408803974338;0.8668515401429623;0.8641271121320425;0.8665742005181662;0.8545308081898715;0.8578743241225256;0.8638158035500207;0.8685299889645004;0.87045901398999;0.8767159194488676;0.8782161415337926;0.8774957349474323;0.8801700183072092;0.8754425982340701;0.8751565825552641;0.8718276247471353;0.8732663791951754;0.8713702937645714;0.864350042604572;0.865908938342887;0.8681107443885231;0.865707771531264;0.8654723416588894;0.8613701856815257;0.8627032099120535;0.8696622875386939;0.8676009159266103;0.868384407719247;0.8635578747579252;0.8612313688173648;0.8649156036846172;0.8627189444506819;0.8555788461039334;0.8570096597567779;0.8574768432074548;0.8575058124047427;0.861250044391251
1293;1293;UCQsBfyc5eOobgCzeY8bBzFg;DOSNT7VA2XA;Cubic Z - Diamond Ortiz | Royalty Free Music - No Copyright Music | YouTube Music;225.0;624388;0.0;0.037164839244030204;0.23420236078828793;0.3594840734695561;0.36059025451392396;0.3549171569555736;0.3989692844778043;0.44413964643451775;0.4429299757359607;0.4408845719337376;0.4569654893549261;0.480569793884204;0.48969599937623703;0.5117934418069388;0.5441632917959071;0.5819524589810422;0.6092715618434492;0.6502199414111073;0.7321465515203798;0.769405840376013;0.7530903526831364;0.7642360660220677;0.7750769604250477;0.7501077036323739;0.7282781666303967;0.7373554052250881;0.7733111387732229;0.7750046400843587;0.7244730620385165;0.7309749243343727;0.7497321651966082;0.7614799830386201;0.767414394327976;0.8032323613937825;0.8309956505153436;0.8579364840957872;0.8503564083873139;0.8619730514447165;0.8729892850070234;0.8623335231428386;0.8651826432312352;0.8779950202548746;0.9037941717903776;0.9053108272684222;0.8903834569480684;0.8971066119530645;0.8948695780814374;0.8919142374926537;0.8893547754354546;0.8976354544443533;0.8946187168996722;0.8911480938834789;0.8851494606249174;0.8909158777895476;0.8970540667055326;0.9009606834422863;0.9048360366984296;0.9128338377080705;0.9225916220086994;0.9307178669567516;0.9272920674850479;0.9366409781928747;0.9449306972443596;0.9460721909550796;0.9539170645776384;0.9576174553428959;0.9683860294051868;0.9619406673754939;0.9618858621173154;0.9631622031299453;0.9616986579020943;0.9622781622987095;0.9617551581682576;0.9621956719101111;0.9666891380780813;0.9584922677973249;0.9522310966353243;0.9515483850858507;0.9554744002473204;0.9573095288923057;0.9617012945811819;0.965033491945275;0.9736710643021054;0.9750065422599862;0.9756227718296077;0.9825417944239699;0.9866568971428663;0.9896143094080759;0.99488051088294;1.0;0.9996071348159442;0.9862602652743997;0.9887794238084023;0.9783637880754117;0.9546340529552512;0.9045759471398577;0.8690141146139916;0.8524197981075989;0.8448738108930441;0.8724001755651604
1294;1294;UCQsBfyc5eOobgCzeY8bBzFg;zi_oR296950;Memories - Bensound | Royalty Free Music - No Copyright Music;230.0;165234;0.23544361111327566;0.0;0.22524270251936515;0.3459096663909251;0.38208781379279516;0.39804008820997483;0.4662686253754194;0.5086829079434502;0.5425887093036752;0.5101703541810125;0.5458039358185076;0.6009616642599086;0.6338815218804457;0.6565026147605293;0.6816723968152869;0.7723295135532403;0.8408311128409329;0.8698554263611991;0.8385076650563739;0.860666955669033;0.8284479219513156;0.7970548826977126;0.8065397927139414;0.8414395762902678;0.8507655213341574;0.8994496514541235;0.8976847957550282;0.8748113931458864;0.8759832061463175;0.8817031562913586;0.9174164664908319;0.9198732873636382;0.9551344742774907;0.9685341223070592;1.0;0.9540313984529214;0.9360813165711961;0.9416670733752948;0.9289943332842548;0.9470854986295628;0.9145508316747141;0.9077533975891953;0.909711832924369;0.9084921171665354;0.9151059786988578;0.8860713299946315;0.8923588950047842;0.8681233807699138;0.8807085178731011;0.8771038353785651;0.8774394827814604;0.8736965056825056;0.8854359622568925;0.8842159183979809;0.9074425218176964;0.9201205115259858;0.9091714504487397;0.8900318381083661;0.8925741293120172;0.8897954412815956;0.8852448433788997;0.8793424690344355;0.8934947809371633;0.9001704895227073;0.9112637510237779;0.9197236732720249;0.9145934848148669;0.9177987042468173;0.9106808794585348;0.9210652785803722;0.9210802071794257;0.9205306378736097;0.9021576337022147;0.9253187809568494;0.9243138073546318;0.8906859076075566;0.9098371675362029;0.9132298967342869;0.8978432685757501;0.8827329015249727;0.8683376307739126;0.8574791255942218;0.8520995803177085;0.8576777907970108;0.8492154077906781;0.84825538403616;0.8559482059638113;0.862374885831078;0.8539321888894311;0.8406906855795064;0.8506239457189576;0.829846288746174;0.8603472211684253;0.8462748018782146;0.8514179503279575;0.8427032575925666;0.810775085480584;0.741781990777899;0.6341131612415837;0.6593569300894526
